Year,CO2 concentrations (NOAA (2017)) (parts per million)
1980,338.8
1981,339.99
1982,340.76
1983,342.44
1984,343.98
1985,345.46
1986,346.88
1987,348.61
1988,351.14
1989,352.79
1990,353.96
1991,355.29
1992,355.99
1993,356.71
1994,358.2
1995,360.03
1996,361.79
1997,362.9
1998,365.55
1999,367.63
2000,368.81
2001,370.4
2002,372.42
2003,374.96
2004,376.78
2005,378.81
2006,380.93
2007,382.67
2008,384.78
2009,386.28
2010,388.56
2011,390.44
2012,392.45
2013,395.19
2014,397.11
2015,399.41
2016,402.87