Year,N2O,CH4,CO2
1960,,,9385792.84
1961,,,9419463.24
1962,,,9808656.62
1963,,,10347089.6
1964,,,10939720.8
1965,,,11426753.4
1966,,,11993620.2
1967,,,12378853.2
1968,,,13011678.4
1969,,,13792038
1970,2225930.2,5305820,14789733.4
1971,2089238.8,5145430,15350300.4
1972,2245410.6,5360610,15952667.4
1973,2291020.9,5421500,16834514.9
1974,2240345.2,5379140,16952269.6
1975,2329578.7,5503270,16853249.6
1976,2412556.4,5649430,17835998.3
1977,2524965.5,5796380,18393371.3
1978,2552326.1,5795950,18606020.6
1979,2710503.6,5972760,19643807.3
1980,2732925.9,6011410,19438422.3
1981,2636112.9,5871770,18840587.6
1982,2803906.6,6289190,18679192
1983,2778356.4,6140330,18609452.9
1984,2693295.5,5987230,19280447.9
1985,2695397.3,6039460,19863328.6
1986,2747396.7,6198880,20471999.3
1987,2928827.3,6463470,20992676.6
1988,2791221.4,6290090,21766336.6
1989,2840340.9,6429940,22242859.6
1990,2953007.3,6668380,22352939.2
1991,2904557.4,6708550,22627491.2
1992,3076061.8,6846520,22403367.8
1993,2848968.2,6503170,22381538.2
1994,2955369.5,6617590,22760830.6
1995,2978718.7,6556730,23258105.2
1996,3011978.6,6551630,23796153.1
1997,3236772,7211170,24155273.4
1998,3120987,6681100,24095857
1999,2955561.7,6503140,24051853
2000,2920510,6480650,24667909
2001,2785436.8,6591630,25250962
2002,2850332.2,6789740,25470982
2003,2836658.1,6831780,27014789
2004,2907452.8,7088150,28364245
2005,2965813.4,7275910,29427675
2006,3100186,7617940,30461769
2007,3260053,7697440,31125496
2008,3031989.1,7643170,32042246
2009,3068677.6,7774920,31686547
2010,3084899.9,7815790,33505379
2011,3123551.397,7927060.645,34865836
2012,3153742.479,8014066.562,35463557
2013,,,35848592